in_id,out_id,year,hour,speed,flow
2005,2007,2020/5/2,18,1.236,1
2005,2007,2020/5/4,11,71.895,1
2005,2007,2020/5/5,17,1.788,1
2005,2007,2020/5/5,23,63.61,1
2005,2007,2020/5/6,0,70.265,1
2005,2007,2020/5/6,5,96.1445,2
2005,2007,2020/5/6,6,85.98255999999999,25
2005,2007,2020/5/6,7,73.5367193,57
2005,2007,2020/5/6,8,69.25544740000001,38
2005,2007,2020/5/6,9,70.97176,25
2005,2007,2020/5/6,10,67.454,25
2005,2007,2020/5/6,11,66.592,24
2005,2007,2020/5/6,12,65.2394091,22
2005,2007,2020/5/6,13,69.38878570000001,14
2005,2007,2020/5/6,14,62.951466700000005,15
2005,2007,2020/5/6,15,53.959375,16
2005,2007,2020/5/6,16,56.7459333,15
2005,2007,2020/5/6,17,81.6342857,21
2005,2007,2020/5/6,18,87.9335769,26
2005,2007,2020/5/6,19,85.79530770000001,13
2005,2007,2020/5/6,20,91.1779,10
2005,2007,2020/5/6,21,89.1634,5
2005,2007,2020/5/6,22,83.73700000000001,1
2005,2007,2020/5/7,3,65.406,1
2005,2007,2020/5/7,5,90.10525,4
2005,2007,2020/5/7,6,80.69885190000001,27
2005,2007,2020/5/7,7,79.85015,60
2005,2007,2020/5/7,8,79.0505102,49
2005,2007,2020/5/7,9,78.0260526,19
2005,2007,2020/5/7,10,81.2418182,22
2005,2007,2020/5/7,11,79.1961111,18
2005,2007,2020/5/7,12,73.383,17
2005,2007,2020/5/7,13,73.80684620000001,13
2005,2007,2020/5/7,14,75.8789,20
2005,2007,2020/5/7,15,71.2921667,12
2005,2007,2020/5/7,16,72.94307690000001,13
2005,2007,2020/5/7,17,84.01711540000001,26
2005,2007,2020/5/7,18,79.8191429,35
2005,2007,2020/5/7,19,86.44633329999999,9
2005,2007,2020/5/7,20,80.4422222,9
2005,2007,2020/5/7,21,85.86399999999999,6
2005,2007,2020/5/7,22,82.9916,5
2005,2007,2020/5/7,23,93.166,2
2005,2007,2020/5/8,2,90.7406667,3
2005,2007,2020/5/8,3,65.17399999999999,1
2005,2007,2020/5/8,5,77.622,1
2005,2007,2020/5/8,6,84.43057890000001,19
2005,2007,2020/5/8,7,83.578459,61
2005,2007,2020/5/8,8,88.5532632,38
2005,2007,2020/5/8,9,81.0577778,18
2005,2007,2020/5/8,10,85.3573636,22
2005,2007,2020/5/8,11,72.58935290000001,17
2005,2007,2020/5/8,12,80.7945455,22
2005,2007,2020/5/8,13,83.02286670000001,15
2005,2007,2020/5/8,14,79.5338095,21
2005,2007,2020/5/8,15,76.221,23
2005,2007,2020/5/8,16,83.3376538,26
2005,2007,2020/5/8,17,82.43621879999999,32
2005,2007,2020/5/8,18,90.5233333,30
2005,2007,2020/5/8,19,87.1292308,13
2005,2007,2020/5/8,20,80.6478,5
2005,2007,2020/5/8,21,92.652125,8
2005,2007,2020/5/8,22,78.6794286,7
2005,2007,2020/5/9,0,72.817,2
2005,2007,2020/5/9,3,75.592,1
2005,2007,2020/5/9,4,70.054,1
2005,2007,2020/5/9,5,75.2365,2
2005,2007,2020/5/9,6,87.9176667,30
2005,2007,2020/5/9,7,85.84610529999999,57
2005,2007,2020/5/9,8,96.1198438,32
2005,2007,2020/5/9,9,79.4983182,22
2005,2007,2020/5/9,10,91.3,18
2005,2007,2020/5/9,11,75.7333333,21
